audio_file	sentence
caf_09901_00826915915	El veí del cinquè va començar a fer soroll a dos quarts de quatre de la matinada
caf_04247_00719683106	Sempre hi ha caravana al peatge de Cardedeu
caf_09598_01736909789	Calzedònia controla el mercat de la roba interior
caf_07803_01281175330	Joaquim Vicens Gironella va ser un autodidacta d'això que en diuen art marginal i va treballar el suro
caf_03655_00316614511	La tercera ciutat més important d'Irlanda del Nord és Lisburn situada al sud-oest de Belfast
caf_09204_00671815070	El raper Psy és conegut per fer un videoclip molt surrealista amb un ball fàcil d'imitar
caf_09598_00938839195	El primer cotxe del meu pare va ser un Fiat
caf_03655_00750650652	Si Inoxcenter no canvia d'administrador pot arribar a fer fallida
caf_07245_00410180216	El cantant de Jarabe de Palo Pau Donés surt en un capítol de Ventdelplà
caf_01591_02123124959	Quina moneda es fa servir a Bulgària
caf_01591_00160215444	Si viatges al Japó hauries de provar de sopar al restaurant de la Ruscalleda
caf_09796_01446470350	El Barça va fitxar en Valdés el 1995
caf_05147_00431535031	La vinya domina el paisatge a Sant Llorenç d'Hortons
caf_06042_01888449203	L'arxipèlag Midway és un atol que depèn dels Estats Units situat a l'oceà Pacífic a mig camí entre les Filipines i Califòrnia
caf_07245_00935926224	A la meva cunyada li fa molta gràcia la Rosa Maria Sardà
caf_08001_01488311950	David Meca neda com un dofí
caf_04247_00256417305	És una pica Duravit preciosa
caf_05147_01789479245	Vaig haver de fer una auditoria a la fàbrica Rocío del País Basc
caf_07245_01492527149	La cantant María Paredes ha hagut de cancel·lar la seva gira a causa d’una greu malaltia
caf_09901_00142597702	Quant són cent noranta-vuit graus centígrads en graus Kelvin
caf_03655_00472835288	El primer treball de la meva filla va ser a Ibèria
caf_06008_00185268619	El 2022 és un any ridícul té tres aneguets
caf_04247_01112962694	A Caldes d'Estrac no s'hi pot aparcar
caf_09598_01774699163	Vaig estar prenent el probiòtics d’Almirall dos mesos
caf_06942_01094855870	Josep Maria Mainat és el creador del programa de cerca de talent Operación Triunfo
caf_06311_01713290825	El Baix Llobregat està ple de fàbriques
caf_09901_01860187089	Al meu pare li agradava repetir els poemes de Juan Goytisolo
caf_04247_01099476400	Ma mare va viure durant un temps a l'Alt Urgell però ara no sé ben bé en quin poble
caf_06042_01496713991	Fa massa calor per anar a Abu Dhabi de vacances
caf_09796_01569079230	Hi ha molt restaurants de sushi a Akita
caf_08106_01109018206	Visitaré Israel l’any que ve per entendre els problemes de la zona
caf_08001_01755534840	Per Sant Jordi el meu marit es va oblidar de la meva rosa
caf_06311_00629787361	Clementina Arderiu fou una gran poeta
caf_07803_01709297489	No sé si Adriana Torres recordarà aquella copa que vam compartir al Coliseum una nit d'agost amb pluja torrencial
caf_05147_00655687438	És difícil trobar feina als cinquanta-sis anys
caf_03655_01184685734	Fernando Maristany i Guasch va ser un editor important del primer terç del segle passat i va conrear la poesia
caf_05739_00921359741	Quan em pentina Eduard Barbany em sento bonica
caf_05147_00853495662	Què he de fer per guanyar deu milions d'euros
caf_06008_02049957745	Els diumenges l'entrada al museu del Louvre és gratuïta però hi ha molta cua
caf_05147_00188289525	Compro xampú de Naturalia per tenir els cabells més bonics
caf_07245_00055327967	Els moviments pèlvics de Beyoncé són poc ortodoxos
caf_06942_00543163183	Quimi Portet sempre serà recordat per la seva cançó La Rambla
caf_05147_01100735648	És la sisena de la llista
caf_07245_00138759247	Lluís Homar viatja amb transport públic
caf_02452_00581673141	Alexa Chung és una model anglesa de trenta-dos anys
caf_09598_01571060748	El personal de Badalona Serveis Assistencials ens ajuda molt a cuidar de l'àvia Júlia
caf_03944_00863607452	Acciona és líder en infraestructures energies renovables industrial aigua i serveis
caf_07803_01687705198	Aniré a buscar-te a la biblioteca de Montornès del Vallès
caf_06042_01086952344	El Joan està treballant amb un contracte temporal a Cartonatges Miquel Petit
caf_05739_01944803814	Gonvauto és una empresa de components d'automoció de matriu espanyola i àmbit d'actuació mundial
caf_09796_01292499131	L'aeroport d'Alguaire està tan buit com el de Castelló
caf_03655_00257911623	Has vist el tràiler de la nova pel·lícula de Marvel Studios
caf_09598_00939571617	Per anar cap al Solsonès has d'agafar la segona sortida a la dreta
caf_05450_00776003790	El meu oncle treballa al polígon industrial de Torrefarrera
caf_06008_01260962051	Veig camions de Salvat Logística per tot arreu
caf_07803_00702586387	Si vas a Vic no et miris el melic
caf_09204_00358928904	Diuen que John Garcia li ha posat les banyes a la Beyoncé
caf_04247_00431416571	La corrupció impera a Kao Corporation
caf_03944_00912195384	A Suïssa els joves poden comprar cervesa quan tenen setze anys
caf_03655_01527814652	Apple està fent una promoció dos per un en portàtils
caf_09204_00585067546	Katy Perry es va fer famosa quan va cantar que havia fet un petó a una noia i li havia agradat
caf_08106_02110673551	Afganistan és un país preciós d'on ens arriben massa males notícies
caf_04247_00963194054	No és recomanable beure alcohol a l’Iran
caf_09598_00182097463	La revista Vallesos costa tres euros
caf_01591_01104074431	Repsol va fer una crisi fa uns quants anys
caf_09598_00193126673	Són les dues i cinc minuts
caf_03655_01689104158	El cava Canals i Nubiola es ven a tot Europa
caf_01591_02082410176	Emtisa també coneguda com a Estampacions Metàl·liques i Transformats Industrials té la seva seu a Sant Andreu de la Barca
caf_09598_01404999702	El creixement de Mataró capital del Maresme pateix per la seva proximitat a Barcelona
caf_01591_01664005753	La família de Francesc Ferrer Ferret va fer negocis a l'Havana
caf_09204_00920141848	Encara no estic segur que m'agradi el nou single d'Ariana Grande
caf_03655_02009371738	Eslovàquia és a l'est de Txèquia
caf_03944_01333553430	Nintendo ha generat més d'un trilió de dòlars amb el seu nou joc
caf_05739_00046601907	Josep Esteve i Seguí era farmacèutic i també escriptor folklorista català
caf_08106_01424861247	El bosc de Cornellà del Terri és ple d'alzines
caf_01591_01254327004	A Sant Andreu de Llavaneres hi ha moltes cases modernistes de principis del segle xx
caf_01591_01193994422	LG presentarà la seva nova línia de mòbils al Congrés de Mòbils de Barcelona
caf_05147_00165437925	L'autor de la novel·la El domador de puces és Francesc Valls-Calzada
caf_09598_00500823778	A Ernest Ventós van tots perfumats
caf_03944_02059664261	Perpinyà és al Rosselló
caf_03655_01367479450	Nyutela és una xarxa telemàtica i Nutella una pasta de cacau
caf_08106_00775532359	Vaig coincidir amb Gala González en una discoteca i vaig arribar a parlar-hi una bona estona
caf_09598_01176527584	Aquesta camisa de Bimba Bosé costa dos-cents euros
caf_09796_01140801998	El meu amic Pere viu a prop del circuit de Silverstone i s'ha comprat un abonament anual
caf_09796_01116798518	A la Pobla de Montornès hi ha moltes oliveres i garrofers
caf_06008_01409344369	Tot visitant el castell de Stirling vaig tenir molts problemes per entendre l'accent anglès que parlava el guia
caf_08001_00159796658	Càrnica Bataller és el meu negoci familiar
caf_02452_00482051256	Brooklyn Beckham és tan ben plantat com el seu pare
caf_09901_00342263551	S'ha fet unes analítiques a l'Etxebarne i li han sortit bé
caf_03944_01531264478	Tan grat li era el seu ofici que fins al setantè aniversari es va resistir a deixar la feina
caf_09901_01294799320	Quina moto porta el Carles Checa
caf_09598_00908876110	Els insults del Vegeta són graciosos
caf_03944_01004880161	Miguel Bosé va ser un mite del seu temps
caf_07803_01822630119	Mostra'm notícies recents sobre Pau Gasol
caf_07245_01446476122	L'actuació de Lucy Liu a Kill Bill és com a mínim memorable
caf_07803_01290802900	L'última vegada que vaig canviar el frigorífic el vaig comprar a Frigorífics Cornellà
caf_03655_00375751338	Ferran Adrià va aconseguir ser el millor cuiner del món
caf_07803_00421327678	Alexandre Galí va ser un pedagog renovador que va impulsar el model d'escola activa
caf_09598_00059226638	Madrid és tan gran que necessita dues frases
caf_06311_01544586750	Vodafone és el patrocinador de la volta al món en motocicleta
caf_06942_01639983020	El més interessant de Prudenci Bertrana era la seva explicació de l'entorn i la història
caf_06008_00783036152	El viatge a l’Índia passa per Agra abans de pujar cap al nord
caf_09204_01747649427	Michael Phelps és molt alt fa un metre noranta-tres centímetres
caf_09598_02114713604	Molts turistes porten càmeres de la marca Canon
caf_06008_01082651231	Quin tros de dona que és Penélope Cruz
caf_09901_01874458178	Vaig trucar a Tèrmic Calefacció perquè reparessin la caldera
caf_03655_00136196394	El meu cosí viu a Cerdanyola del Vallès amb la seva dona
caf_05147_00181943144	L'Hotel Calella és davant del mar
caf_03655_00585040898	Calaf es troba a la Catalunya central
caf_07245_01386888421	La televisió costa nou-cents setanta-cinc euros
caf_09598_01211689456	Els turistes poden passar la nit a l'impressionant castell de Cardona
caf_09204_01960214712	Twiggy era una model molt prima de l'època dels meus pares
caf_09901_00531472104	Juan Domínguez va tenir una polèmica amb la família reial
caf_07803_00620371221	Últimament Pearson fa molt bons llibres per a l'ensenyament de l'anglès com a llengua estrangera
caf_05450_00248228552	Santa Coloma de Queralt es troba a la dreta del riu Gaià
caf_03655_01312900693	Avinyó és una població de poc més de 2 200 habitants
caf_08001_00355705630	Canterbury té una de les catedrals més famoses de les Illes Britàniques
caf_08001_00740769122	Castellet i la Gornal és a tocar del parc del Foix
caf_03944_01866555575	Jo pràcticament no engego la televisió quan tinc una estona miro algun vídeo al Youtube
caf_08106_00290995431	Quan arribi als noranta anys m'asseuré a veure com passa la vida
caf_07803_00997901042	En Martí arriba a l'aeroport a les quatre
caf_09901_00294726752	L'any dos-cents cinquanta-tres després de Crist va passar alguna cosa a Roma
caf_08001_01430795303	El día del watusi és un llibre de Francisco Casavella
caf_05450_01404298607	El comerç al carrer millora el negoci d'Interquim
caf_06042_01014700042	Un amic meu va anar a Xipre i diu que parlen un idioma que sembla l'àrab però que té paraules en italià
caf_09901_00570010554	Com s'arriba a la Casa Museu Prat de la Riba de Castellterçol
caf_07803_00654956096	El logo de Grup Indonèsia és un monstre que sembla un Pokémon
caf_09901_00402613949	L'efecte 2000 va ser un bluf
caf_09796_00205118715	Tinc unes fotos dels cirerers florits a Hirosaki que són una passada
caf_09901_00051566582	Josep Sánchez Llibre és membre del partit polític Unió Democràtica de Catalunya
caf_05147_00441287161	Has de marcar el signe més seguit de quaranta-u u dos-cents dotze set-cents vuitanta-dos trenta-tres trenta
caf_08001_01212819087	En Joan està ingressat a la clínica Debadell
caf_08106_00167325556	Ha estat fent excursionisme místic a l'Himàlaia
caf_07245_01578921523	Virginia Fernández és molt baixeta
caf_06008_00936343146	La benzinera Petromiralles és a la sortida del poble
caf_02452_02047195256	La població de Santa Coloma de Gramenet va créixer exponencialment durant el segle xx
caf_06042_00313816428	Crec que la capital de Bangla Desh és Dacca
caf_09796_01921873457	El cinquè país més ric del món és el Regne Unit
caf_03944_01189598189	Pedro de la Rosa va ser un pilot automobilístic de Fórmula 1
caf_07245_00374578114	Kara Degan és l'actriu més admirada de tot el subcontinent indi
caf_09796_00888103524	Els All Blacks són els més famosos de Nova Zelanda
caf_05739_00220455922	Ningú no ha fet plans per després del 2027
caf_03655_01327265885	El fundador de Puma ja ho va ser d'Adidas
caf_06008_01474930690	D'Armargh l'únic que en sé és que era l'antiga capital de l'Ulster a Irlanda del Nord
caf_03944_00883448511	De jove la meva mare es va empassar totes les pel·lícules de Pedro Almodóvar
caf_08106_01697405367	El casament va ser a Jaipur
caf_03944_01078745435	Telecinco té Belén Esteban com a princesa d'Espanya
caf_08001_00574790021	Tot i que té una relació té un compte obert a Oh Cupido
caf_09598_00326509185	El San Francisco és el meu còctel favorit
caf_05147_01135827719	Google té unes quantes oficines a l'Índia
caf_09204_00264297299	On juga Xavi Hernández
caf_07245_00512829709	Tot sembla indicar que Robert Marc havia superat els seus problemes d'addicció
caf_09204_01768152513	Sir Alex Ferguson ha sigut un dels entrenadors britànics més reconeguts internacionalment
caf_05450_00062150090	Jordi Jané i Guasch l'actual conseller d'Interior de la Generalitat és una persona que parla amb molta cautela
caf_03944_01253125052	La revista Salut per a les Dones no té competència en el mercat
caf_01591_00554290966	Me'n vaig a Tunísia a comprar uns camells i ara torno
caf_05450_00778071966	L'oceà Atlàntic té molta però que molta aigua
caf_05739_01209004409	Si vols menjar calçots has d'anar a Valls
caf_05147_01857742001	Va estudiar enginyeria i va fer pràctiques a Abertis Autopistes
caf_07245_01706257538	Els grans magatzems Marc Key només es troben al Regne Unit i a Irlanda
caf_07803_00659853607	Als anys seixanta els Beatles van revolucionar la música
caf_07803_00298293681	Queden tretze caramels per repartir
caf_08001_01525952953	Dani Garcia és un dels millors cuiners artesanals i creatius del moment
caf_05450_00475596380	La campanya de micromecenatge espera recollir més de set mil euros
caf_04247_01446523674	Em vaig comprar unes ulleres Dior súper guapes
caf_07803_00854068183	No hi ha franceses a les Franqueses del Vallès
caf_05739_01580999674	Qui no recorda l'Ambrosio el majordom de l'anunci de Ferrero Rocher
caf_07245_01242943000	Maria Fradera és la dona d’Elena Miquel i sortia a Ally McBeal
caf_09796_01950054141	A la masia utilitzo gasoil de Dyneff per a la calefacció general
caf_03655_01268942591	Ferimet és una empresa que es dedica a la reparació i comerç de materials ferroviaris
caf_06008_00743585299	Els productes de Lancome van bé per a les erupcions cutànies
caf_09204_00763101535	Alexa Chung és una model anglesa de trenta-dos anys
caf_07803_00027711123	Línia es una bona alternativa a Whatsapp
caf_04247_01849271902	El cinema de Bellpuig encara és obert
caf_04247_00102524751	Voldria llogar un pis pels voltants de Cruïlles Monells i Sant Sadurní de l'Heura
caf_06042_01459674291	De viatge de final de curs van anar a Austràlia
caf_05450_00532507520	El castell de Pera es troba a Sant Llorenç Savall
caf_08001_00072606719	Als Emirats Àrabs no se m'hi ha perdut res
caf_09204_00916488573	L'origen austríac d'Arnold Schwarzenegger no va ser cap impediment perquè arribes a ser governador de Califòrnia
caf_03944_00887079246	Miquel Maria Gibert és un senyor molt agradable amb aspecte de despistat
caf_05450_00052782000	Sabeu si a Castellbisbal hi ha o hi havia un castell episcopal
caf_03655_01607804764	L'americana que em vaig posar per cap d'any és de Stradivarius
caf_07803_01607829861	Francesc-Marc Álvaro habitualment escriu al diari La Vanguardia
caf_07803_01165672391	De tots els llocs anomenats Lancaster solament he visitat la ciutat històrica d'Anglaterra
caf_05450_01558735848	Gedia s'ha desfet de la seva seu a Girona
caf_08106_01481968473	La seu de l'FBI es troba a Quantico Virgínia
caf_03655_01298622968	Quan era petit era molt innocent creia que la Selva del Camp hi havia lleons
caf_05147_01234625962	Com bastants advocats Pere Foix va combinar el seu ofici d'advocat amb el de la política
caf_06311_00671863493	Meritxell Batet Lamaña ha sigut la cap de llista del Partit Socialista a Barcelona
caf_06942_01462245222	Angelina Jolie es va casar amb Brad Pitt fa deu anys
caf_09796_00803913372	Si visiteu Torraspapel veureu la despesa d'aigua en la fabricació de paper
caf_05147_02126310247	Fukuyama pertany a la prefectura d'Hiroshima
caf_05147_01728900815	Vaig comprar el viatge a Eivissa des de Saragossa amb els de Vueling
caf_08106_02118125981	Exoclick és una empresa dos punt zero
caf_01591_01398533512	Si haguessis demanat una Visa podries pagar en aquest bar
caf_06942_00048219297	Sabíeu que Clara Segura parla francès de manera fluida
caf_03655_01683964963	Cristian Ugalde és un jugador d'handbol que ho fa molt bé com a extrem esquerre
caf_06042_01238118380	La pizzeria Sorrento està regentada per un napolità
caf_06042_00956602997	El cafè de Can Pagès és massa car
caf_04247_01145526253	El nom de la capital de Burkina Faso costa molt de pronunciar
caf_09796_00845502349	Vam fer un projecte de petroquímica amb Repsol l'any passat
caf_09901_00337267770	Les empreses del Fortuna cinc-cents són les més grans del món
caf_05147_00915569513	Les primàries d'Ohio són clau per definir el panorama polític dels Estats Units
caf_06008_01932331740	Leo Messi és el millor futbolista del món
caf_06042_01045731444	El parc Vigeland és a Oslo
caf_06008_00240378567	Vam fer una barbacoa a Taradell amb els amics
caf_07245_00284815681	La fama de Miquel Sants no va durar tant com la del seu germà gran Nicolàs Benet
caf_09901_01240996019	L'Ampolla és un municipi de la comarca del Baix Ebre
caf_06942_01673782210	Sean Connery és escocès
caf_06042_01988243716	Cabrils és un poblet petit i ben parit
caf_03655_02021006694	L'Hotel Las Vegas és molt antic
caf_06042_01827434817	Tinc família a Rubí i no he anat mai a visitar-la
caf_08001_01442987812	Els de Nike es gasten molts diners patrocinant tennistes
caf_06042_00756118772	Hi ha cocodrils a Dundee
caf_08001_00488384675	El poble medieval de Montblanc està situat a la Conca de Barberà
caf_05450_00905424652	A la tercera va la vençuda
caf_07245_00999731701	Aquesta serà la segona col·laboració entre Emma Suárez i Luís Tosar
caf_06311_00635544107	El poeta reusenc del dinou Joaquim Bartrina va escriure en català i castellà temes existencials impregnats de romanticisme
caf_06008_00181755484	Hem visitat el Baix Ebre amb tota la família
caf_08001_00106975549	No he vist mai cap obra d'Alexandre Maristany i Guasch
caf_06942_00589038208	Paul McCartney a vegades sembla una dona
caf_07245_00559363875	Vam visitar Hawaii amb els companys de la feina
caf_07245_01149900132	Meryl Streep és considerada per molts la millor actriu del seu temps
caf_03655_02010442358	Algunes de les novel·les infantils juvenils de Joan Manuel Gisbert han estat traduïdes a més d'una vintena d'idiomes
caf_05147_01183562030	No sé si a Dosrius fan justícia a Esteve Albert i Corp
caf_06008_01154145476	Les acadèmies Wall Street English van fer fallida fa uns anys
caf_05450_00230268688	Una de les bones periodistes i locutores de la televisió és Cristina Villanueva
caf_09901_01200169670	El turisme a Tailàndia és majoritàriament europeu
caf_09598_01007639979	Molts nois de la meva escola vestien samarretes Imperio
caf_09796_01969998712	El dia de la setmana que em llevo més tard és el diumenge
caf_06311_01916468658	A Alcarràs difícilment una feina pel teu perfil hi trobaràs
caf_06042_00353933724	L'Aquàrium de Barcelona el visiten molts grups escolars
caf_03944_01300872518	Si vius al Maresme i no saps què fer amb la ferralla truca a Viuda Clariana
caf_06008_01082924706	L'únic que sé d’Els Amics de les Arts és que es tracta d'un grup de músics joves
caf_03655_00639215881	Madeira és un destí turístic molt popular entre els amants del surf
caf_05739_01258900316	L'edifici de Google de Palo Alto és davant la via del tren
caf_05147_00811923770	Ana Belén és una bona cantant
caf_03944_02142129831	L'Oriol Junqueras era alcalde de Sant Vicenç dels Horts
caf_05147_02070959360	El 2026 els androides substituiran els polítics
caf_09598_00381548920	Sovint passava per davant de l'edifici Nissan de la plaça Cerdà
caf_08001_01346061277	A Monistrol de Montserrat s'hi pot agafar un tren verd que et porta fins al monestir
caf_05147_01236253901	Francisco Camprodón escriptor del dinou amb la Renaixença catalana va passar d'escriure en castellà a fer-ho en català
